model,task,method,kind,source_type,source,display_name,n_points,best_val,test_score,test_selection,test_source,x_axis,x_source,test_x_rollout,test_x_source
GPT-4.1-mini,Hover,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/hoverBench_HoverMultiHop_MIPROv2-Heavy_gpt-41-mini-openrouter/run_log.txt,experiment_runs/seed_0/hoverBench_HoverMultiHop_MIPROv2-Heavy_gpt-41-mini-openrouter,82,71.4,47.33,summary_or_log_test_score,/root/gepa/experiment_results.json,rollout,max_metric_calls_budget=7051,7351,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,IFBench,Baseline,point_only,experiment_results,/root/gepa/experiment_results.json,,0,,48.13,summary_or_log_test_score,/root/gepa/experiment_results.json,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,53,final_test_rollouts_only_optimizer_budget_unknown
GPT-4.1-mini,IFBench,GEPA,point_only,experiment_results,/root/gepa/experiment_results.json,,1,89.72,49.83,summary_or_log_test_score,/root/gepa/experiment_results.json,test_only_rollout,max_metric_calls_budget=3593; final_test_only,3646,budget_plus_final_test_rollouts
GPT-4.1-mini,IFBench,GEPA+Merge,point_only,experiment_results,/root/gepa/experiment_results.json,,1,88.75,49.49,summary_or_log_test_score,/root/gepa/experiment_results.json,test_only_rollout,max_metric_calls_budget=3593; final_test_only,3646,budget_plus_final_test_rollouts
GPT-4.1-mini,IFBench,MIPROv2-Heavy,point_only,experiment_results,/root/gepa/experiment_results.json,,0,,51.19,summary_or_log_test_score,/root/gepa/experiment_results.json,test_only_rollout,max_metric_calls_budget=3593; final_test_only,3646,budget_plus_final_test_rollouts
GPT-4.1-mini,LiveBench-Math,Baseline,point_only,experiment_results,/root/gepa/experiment_results.json,,0,,,,,rollout_unavailable,rollout_x_unavailable,,
GPT-4.1-mini,LiveBench-Math,FSPO,curve,log,/root/gepa/gepa-artifact/logs/livebench_math_gpt41mini_20iter.log,,20,76.67,,,,rollout,log_validation_examples_per_iteration=30,,
GPT-4.1-mini,LiveBench-Math,GEPA,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_gpt-41-mini-openrouter/wandb/wandb/run-20260427_074607-n7si0xa5/run-n7si0xa5.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_gpt-41-mini-openrouter,13,76.96,64.21,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_gpt-41-mini-openrouter/wandb/wandb/run-20260427_095934-8hllkzv8/run-8hllkzv8.wandb,rollout,max_metric_calls_budget=1839,1965,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,LiveBench-Math,GEPA+Merge,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter/wandb/wandb/run-20260427_052752-omlg6qom/run-omlg6qom.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter,12,74.27,61.14,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter/wandb/wandb/run-20260427_071339-0rm9nuoc/run-0rm9nuoc.wandb,rollout,max_metric_calls_budget=1839,1965,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,LiveBench-Math,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter/run_log.txt,experiment_runs/seed_0/LiveBenchMathBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter,35,80.7,,,,rollout,max_metric_calls_budget=1839,,
GPT-4.1-mini,PUPA / Papillon,Baseline,point_only,experiment_results,/root/gepa/experiment_results.json,,0,,80.81,summary_or_log_test_score,/root/gepa/experiment_results.json,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,809,final_test_rollouts_only_optimizer_budget_unknown
GPT-4.1-mini,PUPA / Papillon,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260514_211810-p16uyuga/run-p16uyuga.wandb,pupa_gpt_nobase_subset45_20iter,20,98.89,94.09,summary_or_log_test_score,/root/gepa/wandb/run-20260514_211810-p16uyuga,rollout,fspo_validation_examples_per_iteration=45,1709,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,PUPA / Papillon,GEPA,point_only,wandb_summary,/root/gepa/wandb/run-20260514_211507-kd87hy29,,1,81.83,77.37,summary_or_log_test_score,/root/gepa/wandb/run-20260514_211507-kd87hy29,test_only_rollout,max_metric_calls_budget=2426; final_test_only,3235,budget_plus_final_test_rollouts
GPT-4.1-mini,PUPA / Papillon,GEPA+Merge,point_only,experiment_results,/root/gepa/experiment_results.json,,0,,,,,rollout_unavailable,max_metric_calls_budget=2426; final_test_only,,
GPT-4.1-mini,PUPA / Papillon,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/Papillon_PAPILLON_MIPROv2-Heavy_gpt-41-mini-openrouter/run_log.txt,experiment_runs/seed_0/Papillon_PAPILLON_MIPROv2-Heavy_gpt-41-mini-openrouter,42,93.3,83.59,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/papillon.log,rollout,max_metric_calls_budget=2426,3235,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,AIME-2025,Baseline,point_only,zip_wandb_final_eval,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_Baseline_qwen3-8b-openrouter/wandb/wandb/run-20260514_071500-1rionq2z/run-1rionq2z.wandb,,0,,47.33,summary_or_log_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_Baseline_qwen3-8b-openrouter/wandb/wandb/run-20260514_071500-1rionq2z/run-1rionq2z.wandb,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,150,final_test_rollouts_only_optimizer_budget_unknown
Qwen3-8B,AIME-2025,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260515_163842-z2twdgsh/run-z2twdgsh.wandb,origin_qwen_nobase_fixed15val_64t_20iter_3shot_top1,20,73.33,53.33,top5_rank1,/root/gepa/wandb/run-20260430_213244-80wchg13,rollout,fspo_validation_examples_per_iteration=15,450,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,AIME-2025,GEPA,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA_qwen3-8b-openrouter/wandb/wandb/run-20260516_093656-l3ka0dn8/run-l3ka0dn8.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA_qwen3-8b-openrouter,25,73.33,59.33,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA_qwen3-8b-openrouter/wandb/wandb/run-20260517_050013-trxftb94/run-trxftb94.wandb,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,AIME-2025,GEPA+Merge,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_qwen3-8b-openrouter/wandb/wandb/run-20260515_113508-log612oa/run-log612oa.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_qwen3-8b-openrouter,25,77.78,62.67,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_qwen3-8b-openrouter/wandb/wandb/run-20260516_092420-97rcu47m/run-97rcu47m.wandb,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,AIME-2025,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter/run_log.txt,experiment_runs/seed_0/AIMEBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter,29,77.1,58.0,summary_or_log_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter/wandb/wandb/run-20260514_181435-atkn52iz/run-atkn52iz.wandb,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,HotpotQA,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260520_132954-ozc0bwxw/run-ozc0bwxw.wandb,hotpot_fixed_qwen_subset50_60iter,60,66.0,60.33,history_test_score_last,,rollout,fspo_validation_examples_per_iteration=50,3300,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,HotpotQA,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/HotpotQABench_HotpotMultiHop_MIPROv2-Heavy_qwen3-8b/run_log.txt,experiment_runs/seed_0/HotpotQABench_HotpotMultiHop_MIPROv2-Heavy_qwen3-8b,82,79.4,,,,rollout,max_metric_calls_budget=6871,,
Qwen3-8B,LiveBench-Math,Baseline,point_only,log,/root/gepa/gepa-artifact/logs/livebench_baseline_qwen3_nothink_full_20260510_191016.log,,0,,67.54,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/livebench_baseline_qwen3_nothink_full_20260510_191016.log,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,126,final_test_rollouts_only_optimizer_budget_unknown
Qwen3-8B,LiveBench-Math,FSPO,point_only,wandb_summary,/root/gepa/wandb/run-20260510_225819-prmdtdw1,,1,80.0,31.75,summary_or_log_test_score,/root/gepa/wandb/run-20260510_225819-prmdtdw1,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,126,final_test_rollouts_only_optimizer_budget_unknown
Qwen3-8B,LiveBench-Math,GEPA,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_qwen3-8b-openrouter/wandb/wandb/run-20260514_175022-oiipz6ky/run-oiipz6ky.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_qwen3-8b-openrouter,13,80.74,70.57,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA_qwen3-8b-openrouter/wandb/wandb/run-20260514_221742-ag4xsrtm/run-ag4xsrtm.wandb,rollout,max_metric_calls_budget=1839,1965,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,LiveBench-Math,GEPA+Merge,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_qwen3-8b-openrouter/wandb/wandb/run-20260514_123205-l5dyf1jx/run-l5dyf1jx.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_qwen3-8b-openrouter,12,80.84,66.28,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_GEPA-MERGE_qwen3-8b-openrouter/wandb/wandb/run-20260514_173747-9kpzkvgf/run-9kpzkvgf.wandb,rollout,max_metric_calls_budget=1839,1965,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,LiveBench-Math,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/LiveBenchMathBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter/run_log.txt,experiment_runs/seed_0/LiveBenchMathBench_CoT_MIPROv2-Heavy_qwen3-8b-openrouter,35,87.8,65.53,summary_or_log_test_score,/root/gepa/logs/livebench_math_all_optimizers_nothink_20260511_162854.log,rollout,max_metric_calls_budget=1839,1965,last_validation_rollout_plus_final_test_rollouts
Qwen3-8B,PUPA / Papillon,Baseline,point_only,log,/root/gepa/gepa-artifact/logs/papillon_baseline_qwen3_full_20260510_174755.log,,0,,81.55,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/papillon_baseline_qwen3_full_20260510_174755.log,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,809,final_test_rollouts_only_optimizer_budget_unknown
Qwen3-8B,PUPA / Papillon,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260514_171811-n7o1crf6/run-n7o1crf6.wandb,pupa_qwen_nobase_subset45_20iter,20,94.4,90.02,summary_or_log_test_score,/root/gepa/wandb/run-20260514_171811-n7o1crf6,rollout,fspo_validation_examples_per_iteration=45,1709,last_validation_rollout_plus_final_test_rollouts
