"paper_method","project","dataset","seed","epochs","runtime_mins","run_id","raw_method","ppo_used"
"StablePrompt-RAE","GFB_BBH_TC","RUIN_NAMES","42.0","30.0","3.52","x3xhqchk","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SNARKS","42.0","30.0","3.27","wiu5oqv2","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SPORTS_UNDERSTANDING","42.0","30.0","4.67","kf18pw1k","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","WINOWHY","42.0","30.0","8.43","emie6d0w","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","CAUSAL_JUDGMENT","3.0","30.0","4.27","1ygiey5r","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","DISAMBIGUATION_QA","3.0","30.0","3.27","48d1ed2y","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","EPISTEMIC_REASONING","3.0","30.0","7.17","0pfrazso","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","HYPERBATON","3.0","30.0","92.75","zhphljlw","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","IMPLICATURES","3.0","30.0","3.72","4fs0s8xt","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","LOGICAL_FALLACY_DETECTION","3.0","30.0","8.15","c8knpg4h","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","MOVIE_RECOMMENDATION","3.0","30.0","3.87","gvjop9gd","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","NAVIGATE","3.0","30.0","4.63","0z8eg3p4","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","PRESUPPOSITIONS_AS_NLI","3.0","30.0","4.82","ptil59mq","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","RUIN_NAMES","3.0","30.0","3.55","6qblsejd","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SNARKS","3.0","30.0","3.28","gc0vzwfw","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SPORTS_UNDERSTANDING","3.0","30.0","4.83","muk2ydk0","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","WINOWHY","3.0","30.0","8.32","rrx8mn50","Unknown","True"
"StablePrompt-RAE","II_re_correct","ANTONYMS","","30.0","16.03","23mhm43m","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","WORD_IN_CONTEXT","","30.0","20.87","bkzqyofa","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","RHYMES","","30.0","17.5","dzb3bpr9","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","NUM_TO_VERBAL","","30.0","15.33","88y16n6p","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","CAUSE_AND_EFFECT","","30.0","18.7","hosf1gjg","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","LARGER_ANIMAL","","30.0","15.37","ffl0i7ls","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SECOND_WORD_LETTER","","30.0","16.1","y5mx7vud","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","TAXONOMY_ANIMAL","","30.0","18.37","3uhcjdpa","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","NEGATION","","30.0","19.77","oii2f8bt","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","COMMON_CONCEPT","","30.0","17.02","43rfayms","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","DIFF","","30.0","17.58","j3q19ufr","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","TRANSLATION_EN-ES","","30.0","15.57","jbefmoj5","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","ORTHOGRAPHY_STARTS_WITH","","30.0","18.07","q178ktlp","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SENTIMENT","","30.0","19.75","vaxroels","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","INFORMAL_TO_FORMAL","","30.0","9.98","ixogiy17","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SUM","","30.0","17.07","ut61m2un","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SINGULAR_TO_PLURAL","","30.0","15.28","jm1ga5ah","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","ACTIVE_TO_PASSIVE","","30.0","19.23","5vevj02y","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","TRANSLATION_EN-DE","","30.0","14.75","prdatvv9","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SENTENCE_SIMILARITY","","30.0","20.03","7n7ue95l","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","TRANSLATION_EN-FR","","30.0","15.3","ualtqyz7","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","LETTERS_LIST","","30.0","16.28","mrva3xnv","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","FIRST_WORD_LETTER","","30.0","16.98","jhlbzdw5","AlgPrompt","False"
"StablePrompt-RAE","II_re_correct","SYNONYMS","","30.0","18.43","ws9y0dfs","AlgPrompt","False"
"StablePrompt-RAE","II_re","ANTONYMS","","30.0","15.07","s2cbw413","AlgPrompt","False"
"StablePrompt-RAE","II_re","WORD_IN_CONTEXT","","30.0","19.05","vhopmdwy","AlgPrompt","False"
"StablePrompt-RAE","II_re","RHYMES","","30.0","17.97","p2gy34pd","AlgPrompt","False"
"StablePrompt-RAE","II_re","NUM_TO_VERBAL","","30.0","15.3","yvtq5xzd","AlgPrompt","False"
"StablePrompt-RAE","II_re","CAUSE_AND_EFFECT","","30.0","17.62","fke1c7z1","AlgPrompt","False"
"StablePrompt-RAE","II_re","LARGER_ANIMAL","","30.0","14.32","lb2ntb53","AlgPrompt","False"
"StablePrompt-RAE","II_re","SECOND_WORD_LETTER","","30.0","15.67","wbny7d7l","AlgPrompt","False"
"StablePrompt-RAE","II_re","TAXONOMY_ANIMAL","","30.0","17.22","htfbgr8g","AlgPrompt","False"
"StablePrompt-RAE","II_re","NEGATION","","30.0","20.3","6rwnfwve","AlgPrompt","False"
"StablePrompt-RAE","II_re","COMMON_CONCEPT","","30.0","17.8","d8tmd5oo","AlgPrompt","False"
"StablePrompt-RAE","II_re","DIFF","","30.0","16.07","9avqq2cb","AlgPrompt","False"
"StablePrompt-RAE","II_re","TRANSLATION_EN-ES","","30.0","13.68","9j3p03or","AlgPrompt","False"
"StablePrompt-RAE","II_re","ORTHOGRAPHY_STARTS_WITH","","30.0","17.03","zlv7ygth","AlgPrompt","False"
"StablePrompt-RAE","II_re","SENTIMENT","","30.0","17.9","cznie71d","AlgPrompt","False"
"StablePrompt-RAE","II_re","INFORMAL_TO_FORMAL","","30.0","10.07","afw16bqk","AlgPrompt","False"
"StablePrompt-RAE","II_re","SUM","","30.0","15.98","pvb9td7f","AlgPrompt","False"
"StablePrompt-RAE","II_re","SINGULAR_TO_PLURAL","","30.0","14.57","fu41lhoo","AlgPrompt","False"
"StablePrompt-RAE","II_re","ACTIVE_TO_PASSIVE","","30.0","17.63","p7hinoos","AlgPrompt","False"
"StablePrompt-RAE","II_re","TRANSLATION_EN-DE","","30.0","15.15","xlc0w714","AlgPrompt","False"
"StablePrompt-RAE","II_re","SENTENCE_SIMILARITY","","30.0","18.7","eegvzaoa","AlgPrompt","False"
"StablePrompt-RAE","II_re","TRANSLATION_EN-FR","","30.0","14.43","bcctizpc","AlgPrompt","False"
"StablePrompt-RAE","II_re","LETTERS_LIST","","30.0","15.45","81j629mo","AlgPrompt","False"
"StablePrompt-RAE","II_re","FIRST_WORD_LETTER","","30.0","14.7","fdsuitlu","AlgPrompt","False"
"StablePrompt-RAE","II_re","SYNONYMS","","30.0","16.8","mgea92d3","AlgPrompt","False"
"StablePrompt-RAE","II_re","ANTONYMS","","30.0","15.38","6sd1v8gs","AlgPrompt","False"
"StablePrompt-RAE","GFB_II","ANTONYMS","42.0","30.0","7.22","e3e9jxpa","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","WORD_IN_CONTEXT","42.0","30.0","7.45","jvx2eop8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","RHYMES","42.0","30.0","7.2","nhjqiwmk","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NUM_TO_VERBAL","42.0","30.0","6.97","xhapw4eo","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","CAUSE_AND_EFFECT","42.0","30.0","7.12","5yhpgyzx","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LARGER_ANIMAL","42.0","30.0","6.72","zbi8uyn0","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SECOND_WORD_LETTER","42.0","30.0","7.2","hcisz5t7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TAXONOMY_ANIMAL","42.0","30.0","7.12","58xxm6ju","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NEGATION","42.0","30.0","7.48","reiyf9mi","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","COMMON_CONCEPT","42.0","30.0","6.45","mrv737ho","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","DIFF","42.0","30.0","7.18","x3aq4f5o","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-ES","42.0","30.0","6.85","8j6q5bag","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ORTHOGRAPHY_STARTS_WITH","42.0","30.0","7.25","uknwr52m","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTIMENT","42.0","30.0","7.33","r130swr5","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","INFORMAL_TO_FORMAL","42.0","30.0","3.55","mifp70tg","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SUM","42.0","30.0","7.17","qzfcwrai","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SINGULAR_TO_PLURAL","42.0","30.0","7.07","wgegb00l","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ACTIVE_TO_PASSIVE","42.0","30.0","7.4","ij8svrex","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-DE","42.0","30.0","6.9","ce6ci83c","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTENCE_SIMILARITY","42.0","30.0","7.57","s8sxnk2g","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-FR","42.0","30.0","6.72","knv128de","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LETTERS_LIST","42.0","30.0","7.07","uisb947h","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","FIRST_WORD_LETTER","42.0","30.0","7.12","2femz1cd","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SYNONYMS","42.0","30.0","7.18","y2iff2ze","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ANTONYMS","3.0","30.0","7.4","kobihwdb","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","WORD_IN_CONTEXT","3.0","30.0","7.35","vgkzoub3","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","RHYMES","3.0","30.0","7.13","58sdhgo0","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NUM_TO_VERBAL","3.0","30.0","7.05","nqa6dhgl","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","CAUSE_AND_EFFECT","3.0","30.0","6.8","itzyipx6","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LARGER_ANIMAL","3.0","30.0","7.87","4lkdhyn7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SECOND_WORD_LETTER","3.0","30.0","7.27","dtygrvur","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TAXONOMY_ANIMAL","3.0","30.0","7.18","etzwt1qh","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NEGATION","3.0","30.0","7.32","r0j4ovqn","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","COMMON_CONCEPT","3.0","30.0","6.62","pu6lf8er","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","DIFF","3.0","30.0","7.17","1x5gi3u8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-ES","3.0","30.0","7","5nzmf901","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ORTHOGRAPHY_STARTS_WITH","3.0","30.0","7.28","a15pypf7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTIMENT","3.0","30.0","7.33","w34ayhza","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","INFORMAL_TO_FORMAL","3.0","30.0","3.65","6ixdx991","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SUM","3.0","30.0","7.1","trp1goyb","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SINGULAR_TO_PLURAL","3.0","30.0","7.08","4v72cxj9","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ACTIVE_TO_PASSIVE","3.0","30.0","7.25","fyfy2gnl","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-DE","3.0","30.0","7.02","791xou4c","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTENCE_SIMILARITY","3.0","30.0","7.55","ev1lk5wu","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-FR","3.0","30.0","6.97","npajnuwq","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LETTERS_LIST","3.0","30.0","7.12","zfyzyskw","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","FIRST_WORD_LETTER","3.0","30.0","7.22","kxnp3hoz","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SYNONYMS","3.0","30.0","7.27","e5atjxvy","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ANTONYMS","3.0","30.0","6.47","t3p5qnyz","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","WORD_IN_CONTEXT","3.0","30.0","6.87","gw67czaz","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","RHYMES","3.0","30.0","6.68","oarwpibw","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NUM_TO_VERBAL","3.0","30.0","6.75","uy9vl7up","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","CAUSE_AND_EFFECT","3.0","30.0","6.82","z07jnus8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LARGER_ANIMAL","3.0","30.0","6.52","jsvot9w1","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SECOND_WORD_LETTER","3.0","30.0","6.55","8m2ad850","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TAXONOMY_ANIMAL","3.0","30.0","6.72","x5ltxxkj","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NEGATION","3.0","30.0","6.72","u299b6hc","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","COMMON_CONCEPT","3.0","30.0","6.48","gsskb3xd","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","DIFF","3.0","30.0","6.43","z7viaztr","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-ES","3.0","30.0","6.17","ovg0a6id","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ORTHOGRAPHY_STARTS_WITH","3.0","30.0","6.97","3jcm00fe","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTIMENT","3.0","30.0","6.72","h5osl9wl","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","INFORMAL_TO_FORMAL","3.0","30.0","3.55","jyv22mj7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SUM","3.0","30.0","6.53","asqz76id","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SINGULAR_TO_PLURAL","3.0","30.0","6.42","ixe0a886","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ACTIVE_TO_PASSIVE","3.0","30.0","6.5","e2aq8jh5","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-DE","3.0","30.0","6.32","b8n9xp82","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTENCE_SIMILARITY","3.0","30.0","7.18","xkxylho2","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-FR","3.0","30.0","6.12","y7gpc91k","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LETTERS_LIST","3.0","30.0","6.57","khz29jhu","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","FIRST_WORD_LETTER","3.0","30.0","6.82","97vhamsm","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SYNONYMS","3.0","30.0","6.58","fepne7t8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ANTONYMS","6.0","30.0","7.25","x1w1zuh1","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","WORD_IN_CONTEXT","6.0","30.0","7.4","8pwb3fml","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","RHYMES","6.0","30.0","7.47","fykqraaf","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NUM_TO_VERBAL","6.0","30.0","7.72","1v947onh","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","CAUSE_AND_EFFECT","6.0","30.0","6.77","fdghz6vx","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LARGER_ANIMAL","6.0","30.0","7","x8twx5pr","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SECOND_WORD_LETTER","6.0","30.0","7.17","i0nrgxvf","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TAXONOMY_ANIMAL","6.0","30.0","7.35","4tn3ldme","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NEGATION","6.0","30.0","7.42","o4k7nzsl","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","COMMON_CONCEPT","6.0","30.0","6.38","1azp7maf","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","DIFF","6.0","30.0","7.1","1n1ewrnp","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-ES","6.0","30.0","6.87","p634eblj","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ORTHOGRAPHY_STARTS_WITH","6.0","30.0","7.33","zxw36jg3","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTIMENT","6.0","30.0","7.58","7fvfzens","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","INFORMAL_TO_FORMAL","6.0","30.0","3.6","6lwi3mq8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SUM","6.0","30.0","7.08","kv6niv96","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SINGULAR_TO_PLURAL","6.0","30.0","6.88","4g1zp7gx","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ACTIVE_TO_PASSIVE","6.0","30.0","7.23","rq1768pz","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-DE","6.0","30.0","6.98","fkjd03ik","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SENTENCE_SIMILARITY","6.0","30.0","7.38","ljo176e1","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-FR","6.0","30.0","6.82","0zjbfjbk","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LETTERS_LIST","6.0","30.0","7.15","oxn8x551","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","FIRST_WORD_LETTER","6.0","30.0","7.22","tpq3quf7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SYNONYMS","6.0","30.0","8.52","wo56tdgm","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ANTONYMS","6.0","100.0","37.95","vh2r1ee7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","WORD_IN_CONTEXT","6.0","100.0","40.6","cr9h5kos","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","RHYMES","6.0","100.0","37.6","a2mignvr","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NUM_TO_VERBAL","6.0","100.0","36.2","8njysxts","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","CAUSE_AND_EFFECT","6.0","100.0","37.47","w4rwug6n","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","LARGER_ANIMAL","6.0","100.0","36.97","gr159iws","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","SECOND_WORD_LETTER","6.0","100.0","37.23","8320cdfd","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TAXONOMY_ANIMAL","6.0","100.0","38.57","hbyqjltd","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","NEGATION","6.0","100.0","39.35","nebz7o1j","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","COMMON_CONCEPT","6.0","100.0","34.32","ince3hn7","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","DIFF","6.0","100.0","39.18","z7fv2zmc","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","TRANSLATION_EN-ES","6.0","100.0","35.07","ksbaavzu","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_II","ORTHOGRAPHY_STARTS_WITH","6.0","100.0","39.22","13yc9cmw","StablePrompt-PPO","True"
