"dataset","paper_method","gpu","seed","epochs","runtime_mins","run_id","project","run_name","raw_method","ppo_used"
"ASTRONOMY","StablePrompt-PPO","A100","3.0","30.0","4.93","43d82g96","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ASTRONOMY","StablePrompt-PPO","A100","42.0","30.0","2.7","s52hrvwn","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ASTRONOMY","StablePrompt-PPO","A100","42.0","30.0","4.95","x8iokfag","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"ASTRONOMY","StablePrompt-PPO","A100","42.0","30.0","4.95","vw5be5bo","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ASTRONOMY","StablePrompt-PPO","A100","42.0","30.0","4.38","e4bh0d1k","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"BUSINESS_ETHICS","StablePrompt-PPO","A100","3.0","30.0","4.55","gtoqmzyo","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"BUSINESS_ETHICS","StablePrompt-PPO","A100","42.0","30.0","2.62","7ewzj49u","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"BUSINESS_ETHICS","StablePrompt-PPO","A100","42.0","30.0","4.57","twsag6lw","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"BUSINESS_ETHICS","StablePrompt-PPO","A100","42.0","30.0","4.53","as2imu5n","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"BUSINESS_ETHICS","StablePrompt-PPO","A100","42.0","30.0","4.48","uq14l3v3","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"CAUSAL_JUDGMENT","StablePrompt-PPO","A100","3.0","30.0","4.27","1ygiey5r","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s3","Unknown","True"
"CAUSAL_JUDGMENT","StablePrompt-PPO","A100","42.0","30.0","4.85","ltszaqhh","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s42","Unknown","True"
"CAUSAL_JUDGMENT","StablePrompt-PPO","A100","42.0","30.0","9.88","36yty5dn","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s42","Unknown","True"
"CAUSAL_JUDGMENT","StablePrompt-PPO","A100","6.0","30.0","10.18","y2ydgvl8","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s6","Unknown","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","3.0","30.0","6.8","itzyipx6","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","3.0","30.0","6.82","z07jnus8","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re","StablePrompt-PPO","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","42.0","30.0","7.12","5yhpgyzx","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","6.0","100.0","37.47","w4rwug6n","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","6.0","200.0","74.33","jewwiv6a","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"CAUSE_AND_EFFECT","StablePrompt-PPO","A100","6.0","30.0","6.77","fdghz6vx","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"CLINICAL_KNOWLEDGE","StablePrompt-PPO","A100","3.0","30.0","5.23","zesfotys","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"CLINICAL_KNOWLEDGE","StablePrompt-PPO","A100","42.0","30.0","4.68","eqaql33y","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"CLINICAL_KNOWLEDGE","StablePrompt-PPO","A100","42.0","30.0","5.3","y7vfr46f","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"CLINICAL_KNOWLEDGE","StablePrompt-PPO","A100","42.0","30.0","2.97","lbta79z1","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"CLINICAL_KNOWLEDGE","StablePrompt-PPO","A100","42.0","30.0","5.33","tut9lfgt","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_BIOLOGY","StablePrompt-PPO","A100","3.0","30.0","4.83","d6z4aria","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_BIOLOGY","StablePrompt-PPO","A100","42.0","30.0","4.72","x7g90mz1","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_BIOLOGY","StablePrompt-PPO","A100","42.0","30.0","4.47","t3rqjjam","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_BIOLOGY","StablePrompt-PPO","A100","42.0","30.0","2.67","prnl0ks6","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_BIOLOGY","StablePrompt-PPO","A100","42.0","30.0","4.72","f3cggt8f","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_CHEMISTRY","StablePrompt-PPO","A100","3.0","30.0","4.5","4gv148eh","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_CHEMISTRY","StablePrompt-PPO","A100","42.0","30.0","4.33","pgruja29","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_CHEMISTRY","StablePrompt-PPO","A100","42.0","30.0","4.63","ewnoc61c","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_CHEMISTRY","StablePrompt-PPO","A100","42.0","30.0","2.5","wqeu1d4t","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_CHEMISTRY","StablePrompt-PPO","A100","42.0","30.0","4.53","cbcknnii","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_COMPUTER_SCIENCE","StablePrompt-PPO","A100","3.0","30.0","4.82","56s33vjg","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_COMPUTER_SCIENCE","StablePrompt-PPO","A100","42.0","30.0","4.53","kl1pxtyp","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_COMPUTER_SCIENCE","StablePrompt-PPO","A100","42.0","30.0","2.7","h66c9ykf","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_COMPUTER_SCIENCE","StablePrompt-PPO","A100","42.0","30.0","5.02","6ecety2j","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_COMPUTER_SCIENCE","StablePrompt-PPO","A100","42.0","30.0","5","9zxz5g68","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_MATHEMATICS","StablePrompt-PPO","A100","3.0","30.0","4.35","btps56ov","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","2.47","pcx4lroi","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","4.47","nsm9ixi8","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","4.45","r1yvxc80","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","4.1","p2fe8jrj","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_MEDICINE","StablePrompt-PPO","A100","3.0","30.0","5.32","l3vl9n4k","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_MEDICINE","StablePrompt-PPO","A100","42.0","30.0","2.97","o5q62s4c","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_MEDICINE","StablePrompt-PPO","A100","42.0","30.0","5.37","1tyhq9ui","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_MEDICINE","StablePrompt-PPO","A100","42.0","30.0","5.5","gaor18aq","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_MEDICINE","StablePrompt-PPO","A100","42.0","30.0","4.83","19a79vzc","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_PHYSICS","StablePrompt-PPO","A100","3.0","30.0","4.72","1mq657vm","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.63","6nz5m260","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COLLEGE_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.37","apihzcat","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COLLEGE_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.62","7donr661","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COLLEGE_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","2.57","xqnwi320","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","3.0","30.0","6.62","pu6lf8er","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","3.0","30.0","6.48","gsskb3xd","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re","StablePrompt-PPO","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","42.0","30.0","6.45","mrv737ho","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","6.0","100.0","34.32","ince3hn7","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","6.0","200.0","68.32","xj74yd2d","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"COMMON_CONCEPT","StablePrompt-PPO","A100","6.0","30.0","6.38","1azp7maf","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"COMPUTER_SECURITY","StablePrompt-PPO","A100","3.0","30.0","4.73","67m2re5y","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COMPUTER_SECURITY","StablePrompt-PPO","A100","42.0","30.0","4.77","w966d1do","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"COMPUTER_SECURITY","StablePrompt-PPO","A100","42.0","30.0","4.47","lk3ws1yk","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"COMPUTER_SECURITY","StablePrompt-PPO","A100","42.0","30.0","4.85","tien7e59","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"COMPUTER_SECURITY","StablePrompt-PPO","A100","42.0","30.0","2.63","ifkvdk72","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"CONCEPTUAL_PHYSICS","StablePrompt-PPO","A100","3.0","30.0","4.88","z5tkil1i","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"CONCEPTUAL_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.9","c62qt23c","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"CONCEPTUAL_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","2.72","ol2362pg","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"CONCEPTUAL_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.9","o9xh76z5","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"CONCEPTUAL_PHYSICS","StablePrompt-PPO","A100","42.0","30.0","4.6","9u9vpfru","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"DIFF","StablePrompt-PPO","A100","3.0","30.0","7.17","1x5gi3u8","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"DIFF","StablePrompt-PPO","A100","3.0","30.0","6.43","z7viaztr","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re","StablePrompt-PPO","True"
"DIFF","StablePrompt-PPO","A100","42.0","30.0","7.18","x3aq4f5o","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"DIFF","StablePrompt-PPO","A100","6.0","100.0","39.18","z7fv2zmc","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"DIFF","StablePrompt-PPO","A100","6.0","200.0","73","f0cljbpe","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"DIFF","StablePrompt-PPO","A100","6.0","30.0","7.1","1n1ewrnp","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"DISAMBIGUATION_QA","StablePrompt-PPO","A100","3.0","30.0","3.27","48d1ed2y","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s3","Unknown","True"
"DISAMBIGUATION_QA","StablePrompt-PPO","A100","42.0","30.0","5.93","a71p7qju","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s42","Unknown","True"
"DISAMBIGUATION_QA","StablePrompt-PPO","A100","42.0","30.0","3.23","gj5ojk6z","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s42","Unknown","True"
"DISAMBIGUATION_QA","StablePrompt-PPO","A100","6.0","30.0","5.97","r8qlxkc4","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s6","Unknown","True"
"DYCK_LANGUAGES","StablePrompt-PPO","A100","3.0","30.0","24.73","5bdbbwi8","GFB_BBH_TG","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"DYCK_LANGUAGES","StablePrompt-PPO","A100","42.0","30.0","26","xc2ru121","GFB_BBH_TG","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"DYCK_LANGUAGES","StablePrompt-PPO","A100","6.0","30.0","50.37","ffzndnn1","GFB_BBH_TG","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ECONOMETRICS","StablePrompt-PPO","A100","3.0","30.0","4.97","420kt8zq","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ECONOMETRICS","StablePrompt-PPO","A100","42.0","30.0","5","v3ilna0z","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ECONOMETRICS","StablePrompt-PPO","A100","42.0","30.0","2.77","e5uj81x8","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ECONOMETRICS","StablePrompt-PPO","A100","42.0","30.0","4.58","u5jsbxgv","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"ECONOMETRICS","StablePrompt-PPO","A100","42.0","30.0","4.98","vhe7hmv7","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"ELECTRICAL_ENGINEERING","StablePrompt-PPO","A100","3.0","30.0","4.5","hgzwebmt","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ELECTRICAL_ENGINEERING","StablePrompt-PPO","A100","42.0","30.0","4.17","llek5g3n","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"ELECTRICAL_ENGINEERING","StablePrompt-PPO","A100","42.0","30.0","4.4","am2ih621","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"ELECTRICAL_ENGINEERING","StablePrompt-PPO","A100","42.0","30.0","2.53","3od5x7ru","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ELECTRICAL_ENGINEERING","StablePrompt-PPO","A100","42.0","30.0","4.45","tkqj72jy","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ELEMENTARY_MATHEMATICS","StablePrompt-PPO","A100","3.0","30.0","6.47","ae6ir26x","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ELEMENTARY_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","5.22","fbywlvh0","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"ELEMENTARY_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","3.25","nwpj1qr8","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ELEMENTARY_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","6.1","2cmndzux","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ELEMENTARY_MATHEMATICS","StablePrompt-PPO","A100","42.0","30.0","5.85","k40yao8o","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"EPISTEMIC_REASONING","StablePrompt-PPO","A100","3.0","30.0","7.17","0pfrazso","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s3","Unknown","True"
"EPISTEMIC_REASONING","StablePrompt-PPO","A100","42.0","30.0","14.18","561l7n56","GFB_BBH_TC","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_top5_s42","Unknown","True"
